locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
559774,Mang Hang Catering,Truck,144000,02ND ST: FEDERAL ST to SOUTH PARK (519 - 548),544 02ND ST,3775005,3775,5,14MFF-0109,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,6014572.797,2112894.093,37.78242356,-122.3932364,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0109&ExportPDF=1&Filename=14MFF-0109_schedule.pdf,,,Jul 10 2014  2:56PM,1,3/15/15 0:00,"(37.7824235770731, -122.393236399388)"
521812,"VK Industries, Inc.",Truck,147000,02ND ST: BRANNAN ST to TOWNSEND ST (600 - 699),625 02ND ST,3789007,3789,7,14MFF-0015,APPROVED,Indian Street Food,6015195.702,2112613.963,37.78168898,-122.3910618,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0015&ExportPDF=1&Filename=14MFF-0015_schedule.pdf,,3/7/14 9:56,Mar  7 2014  9:48AM,0,3/15/15 0:00,"(37.7816889891243, -122.391061817277)"
554527,Steve's Mobile Deli,Truck,148000,02ND ST: TOWNSEND ST to KING ST (700 - 799),750 02ND ST,3794002A,3794,002A,14MFF-0107,APPROVED,Cold Truck: Pre-packaged sandwiches: Burgers: Hot Dogs: Muffin Sandwiches: Enchiladas: Bagels: Burritos: Salads: Snacks: Beverages,6015411.83,2111996.555,37.7800057,-122.390271,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0107&ExportPDF=1&Filename=14MFF-0107_schedule.pdf,,6/24/14 13:55,Jun 24 2014  1:49PM,1,3/15/15 0:00,"(37.7800057164663, -122.390270961301)"
305735,Bombay Blvd.,Truck,165000,03RD ST: JESSIE ST to MISSION ST (68 - 99),86 03RD ST,3706093,3706,93,11MFF-0040,REQUESTED,Indian Style: BBQ: Variety of Curries: Rice: Wraps: Breads (Naan: Rotis: Parathas): Desserts: Pizza.  Beverages: Condiments: Indian Soups: Salads & Appetizer Varieties.,6011914.846,2114325.584,37.78620608,-122.4025325,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0040&ExportPDF=1&Filename=11MFF-0040_schedule.pdf,,,Mar  7 2011  4:38PM,0,,"(37.7862060958787, -122.402532491336)"
560884,Tacos El Ojo De Agua,Truck,177000,03RD ST: SOUTH PARK to VARNEY PL (548 - 586),551 03RD ST,3775025,3775,25,14MFF-0118,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Salads: Soup: Fruits: Juices: Soda: Water,6014157.282,2112255.562,37.78064721,-122.3946292,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0118&ExportPDF=1&Filename=14MFF-0118_schedule.pdf,,7/25/14 16:38,Jul 16 2014 10:34AM,0,3/15/15 0:00,"(37.7806472238285, -122.394629181652)"
525993,Got Snacks,Push Cart,184001,03RD ST: TERRY A FRANCOIS BLVD to CHANNEL (1000 - 1099),1020 03RD ST,8714002,8714,2,14MFF-0025,APPROVED,sunflower seeds: crackerjacks: bottled water: peanuts: candy,6015168.306,2110364.21,37.77551014,-122.3909993,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0025&ExportPDF=1&Filename=14MFF-0025_schedule.pdf,,3/13/14 8:23,Mar 13 2014  8:15AM,1,3/15/15 0:00,"(37.7755101518346, -122.390999305993)"
526471,DO UC US Mobile Catering,Truck,185104,03RD ST: MISSION BAY BLVD to SOUTH ST (1401 - 1599) -- EAST --,1501 03RD ST,8720013,8720,13,14MFF-0060,APPROVED,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks,6015663.184,2108672.393,37.77089223,-122.3891692,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0060&ExportPDF=1&Filename=14MFF-0060_schedule.pdf,,3/14/14 13:47,Mar 14 2014  1:44PM,1,3/15/15 0:00,"(37.7708922448214, -122.389169231473)"
550711,Two G's Catering,Truck,185105,03RD ST: SOUTH ST to 16TH ST (1601 - 1799) -- EAST --,1799 03RD ST,8722001,8722,1,14MFF-0104,APPROVED,Cold Truck: Hot & Cold Sandwiches: Bagels: Burritos: Soups: Hot Dogs: Tacos: Pork Buns: BBQ Meat: Fruit: Various Beverages: Pasties: Pre-Packaged Snacks: Candy: Salads: Muffins: Scones: Brownies: Croissants: Energy Bars: Noodle Bowls,6016110.001,2107608.418,37.76799555,-122.3875494,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0104&ExportPDF=1&Filename=14MFF-0104_schedule.pdf,,6/12/14 11:57,Jun 12 2014 11:47AM,1,3/15/15 0:00,"(37.767995559478, -122.387549426537)"
525904,John's Catering #5,Truck,186201,03RD ST: 16TH ST to MARIPOSA ST (1800 - 1998) -- WEST --,1900 03RD ST,3992003,3992,3,14MFF-0023,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),6015473.195,2106569.082,37.76510646,-122.3896795,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0023&ExportPDF=1&Filename=14MFF-0023_schedule.pdf,,3/12/14 14:25,Mar 12 2014  2:10PM,1,3/15/15 0:00,"(37.765106476986, -122.389679487281)"
532489,May Sun Kitchen,Truck,187101,03RD ST: MARIPOSA ST to 18TH ST (2001 - 2099) -- EAST --,2085 03RD ST,3994002,3994,2,14MFF-0092,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015805.902,2105904.117,37.76329906,-122.3884823,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0092&ExportPDF=1&Filename=14MFF-0092_schedule.pdf,,4/11/14 7:08,Apr  8 2014  3:27PM,1,3/15/15 0:00,"(37.7632990698416, -122.388482306796)"
532523,May Sun Kitchen,Truck,187201,03RD ST: MARIPOSA ST to 18TH ST (2000 - 2098) -- WEST --,2030 03RD ST,3995105,3995,105,14MFF-0092,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015620.25,2106039.246,37.7636598,-122.3891339,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0092&ExportPDF=1&Filename=14MFF-0092_schedule.pdf,,4/11/14 7:08,Apr  8 2014  3:27PM,1,3/15/15 0:00,"(37.763659815146, -122.389133857395)"
437222,Natan's Catering,Truck,188101,03RD ST: 18TH ST to 19TH ST (2101 - 2199) -- EAST --,2101 03RD ST,4045004,4045,4,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,,4/12/13 14:43,Apr 12 2013  2:33PM,1,3/15/14 0:00,
543497,Natan's Catering,Truck,188101,03RD ST: 18TH ST to 19TH ST (2101 - 2199) -- EAST --,2101 03RD ST,4045004,4045,4,14MFF-0100,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0100&ExportPDF=1&Filename=14MFF-0100_schedule.pdf,,5/19/14 12:58,May 19 2014 12:45PM,1,3/15/15 0:00,
525812,May Catering,Truck,191101,03RD ST: 22ND ST to 23RD ST (2501 - 2699) -- EAST --,2565 03RD ST,4173001,4173,1,14MFF-0022,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6015998.409,2103503.194,37.7567173,-122.387649,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0022&ExportPDF=1&Filename=14MFF-0022_schedule.pdf,,3/12/14 12:18,Mar 12 2014 11:57AM,1,3/15/15 0:00,"(37.7567173136405, -122.387648962983)"
532705,M M Catering,Truck,192201,03RD ST: 23RD ST to 24TH ST (2700 - 2798) -- WEST --,2700 03RD ST,4230001,4230,1,14MFF-0093,APPROVED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6015750.256,2102782.473,37.7547246,-122.3884569,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0093&ExportPDF=1&Filename=14MFF-0093_schedule.pdf,,4/9/14 15:20,Apr  9 2014  3:11PM,1,3/15/15 0:00,"(37.754724617818, -122.388456870364)"
525815,May Catering,Truck,193201,03RD ST: 24TH ST to 25TH ST (2800 - 2898) -- WEST --,2800 03RD ST,4246001,4246,1,14MFF-0022,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6015771.139,2102415.24,37.75371742,-122.388359,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0022&ExportPDF=1&Filename=14MFF-0022_schedule.pdf,,3/12/14 12:18,Mar 12 2014 11:57AM,1,3/15/15 0:00,"(37.7537174307084, -122.388359021034)"
526075,F & C Catering,Truck,193201,03RD ST: 24TH ST to 25TH ST (2800 - 2898) -- WEST --,2890 03RD ST,4246003,4246,3,14MFF-0029,APPROVED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,6015821.245,2102192.556,37.75310875,-122.3881702,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0029&ExportPDF=1&Filename=14MFF-0029_schedule.pdf,,3/13/14 11:21,Mar 13 2014 11:06AM,1,3/15/15 0:00,"(37.7531087636781, -122.388170202056)"
526080,F & C Catering,Truck,193201,03RD ST: 24TH ST to 25TH ST (2800 - 2898) -- WEST --,2800 03RD ST,4246001,4246,1,14MFF-0029,APPROVED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,6015771.139,2102415.24,37.75371742,-122.388359,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0029&ExportPDF=1&Filename=14MFF-0029_schedule.pdf,,3/13/14 11:21,Mar 13 2014 11:06AM,1,3/15/15 0:00,"(37.7537174307084, -122.388359021034)"
526061,Tacos El Flaco,Truck,194101,03RD ST: 25TH ST to 26TH ST (2901 - 2999) -- EAST --,2901 03RD ST,4296010,4296,10,14MFF-0027,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Chips & Salsa & Various Beverages,6016154.266,2101929.534,37.75240499,-122.3870002,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0027&ExportPDF=1&Filename=14MFF-0027_schedule.pdf,,3/13/14 11:06,Mar 13 2014 10:55AM,0,3/15/15 0:00,"(37.7524050062858, -122.387000196288)"
528130,Quan Catering,Truck,194201,03RD ST: 25TH ST to 26TH ST (2900 - 2998) -- WEST --,2920 03RD ST,4295014,4295,14,14MFF-0068,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6015872.066,2101777.398,37.75197163,-122.3879655,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0068&ExportPDF=1&Filename=14MFF-0068_schedule.pdf,,3/19/14 14:47,Mar 19 2014  2:40PM,1,3/15/15 0:00,"(37.7519716426848, -122.387965483791)"
532515,May Sun Kitchen,Truck,195201,03RD ST: 26TH ST to CESAR CHAVEZ ST (3000 - 3098) -- WEST --,3000 03RD ST,4315008,4315,8,14MFF-0092,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015877.515,2101228.261,37.75046412,-122.3879083,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0092&ExportPDF=1&Filename=14MFF-0092_schedule.pdf,,4/11/14 7:08,Apr  8 2014  3:27PM,1,3/15/15 0:00,"(37.7504641293319, -122.387908325892)"
532500,May Sun Kitchen,Truck,196000,03RD ST: CESAR CHAVEZ ST to MARIN ST (3100 - 3199),3150 03RD ST,4355006,4355,6,14MFF-0092,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015847.697,2100856.956,37.74944294,-122.3879855,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0092&ExportPDF=1&Filename=14MFF-0092_schedule.pdf,,4/11/14 7:08,Apr  8 2014  3:27PM,1,3/15/15 0:00,"(37.7494429514107, -122.387985532494)"
437220,Natan's Catering,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3201 03RD ST,4377001,4377,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016160.221,2100487.333,37.74844534,-122.386879,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,,4/12/13 14:43,Apr 12 2013  2:33PM,1,3/15/14 0:00,"(37.748445352649, -122.38687903197)"
532512,May Sun Kitchen,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3305 03RD ST,4502A002,4502A,2,14MFF-0092,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6018751.714,2098754.754,37.74383117,-122.3777974,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0092&ExportPDF=1&Filename=14MFF-0092_schedule.pdf,,4/11/14 7:08,Apr  8 2014  3:27PM,1,3/15/15 0:00,"(37.7438311859485, -122.377797368952)"
532517,May Sun Kitchen,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3255 03RD ST,4377001,4377,1,14MFF-0092,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6016160.221,2100487.333,37.74844534,-122.386879,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0092&ExportPDF=1&Filename=14MFF-0092_schedule.pdf,,4/11/14 7:08,Apr  8 2014  3:27PM,1,3/15/15 0:00,"(37.748445352649, -122.38687903197)"
543495,Natan's Catering,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3201 03RD ST,4377001,4377,1,14MFF-0100,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016160.221,2100487.333,37.74844534,-122.386879,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0100&ExportPDF=1&Filename=14MFF-0100_schedule.pdf,,5/19/14 12:58,May 19 2014 12:45PM,1,3/15/15 0:00,"(37.748445352649, -122.38687903197)"
528136,Quan Catering,Truck,198101,03RD ST: ARTHUR AVE \ CARGO WAY to BURKE AVE (3401 - 3499) -- EAST --,3433 03RD ST,5203023,5203,23,14MFF-0068,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0068&ExportPDF=1&Filename=14MFF-0068_schedule.pdf,,3/19/14 14:47,Mar 19 2014  2:40PM,1,3/15/15 0:00,
528156,Park's Catering,Truck,198201,03RD ST: ARTHUR AVE \ CARGO WAY to BURKE AVE (3400 - 3498) -- WEST --,3450 03RD ST,5211029,5211,29,14MFF-0069,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6015874.731,2099503.899,37.74572922,-122.3877977,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0069&ExportPDF=1&Filename=14MFF-0069_schedule.pdf,,3/19/14 14:51,Mar 19 2014  2:45PM,1,3/15/15 0:00,"(37.7457292355024, -122.387797650827)"
528153,Park's Catering,Truck,202101,03RD ST: EVANS AVE to FAIRFAX AVE (3801 - 3899) -- EAST --,3801 03RD ST,5242002,5242,2,14MFF-0069,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6015841.555,2097791.762,37.74102621,-122.3877929,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0069&ExportPDF=1&Filename=14MFF-0069_schedule.pdf,,3/19/14 14:51,Mar 19 2014  2:45PM,1,3/15/15 0:00,"(37.7410262216072, -122.387792927984)"
429253,Your Community Foods,Truck,214201,03RD ST: QUESADA AVE to BAY VIEW ST \ REVERE AVE (5000 - 5098) -- WEST --,5048 03RD ST,5338006,5338,6,13MFF-0094,EXPIRED,Wraps: Sandwiches: Chicken Wings: Fries: Lemonade: Juices,6014631.704,2094818.262,37.73279449,-122.3917683,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0094&ExportPDF=1&Filename=13MFF-0094_schedule.pdf,,6/28/13 9:47,Mar 22 2013  3:27PM,0,3/15/14 0:00,"(37.7327945058551, -122.391768324822)"
526125,Bach Catering,Truck,223201,03RD ST: ARMSTRONG AVE to BANCROFT AVE (5600 - 5698) -- WEST --,5600 03RD ST,5421003,5421,3,14MFF-0034,APPROVED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0034&ExportPDF=1&Filename=14MFF-0034_schedule.pdf,,3/13/14 12:03,Mar 13 2014 11:51AM,1,3/15/15 0:00,
532492,May Sun Kitchen,Truck,226201,03RD ST: EGBERT AVE to FITZGERALD AVE (6000 - 6170) -- WEST --,6000 03RD ST,5431A001U,5431A,001U,14MFF-0092,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6013371.112,2091633.565,37.7239799,-122.3959035,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0092&ExportPDF=1&Filename=14MFF-0092_schedule.pdf,,4/11/14 7:08,Apr  8 2014  3:27PM,1,3/15/15 0:00,"(37.7239799177279, -122.395903454903)"
